NR	PARTIDO	CAND	NOME	1	2	111	112	113	114	158	159	160	161	TOTAL
65	PC do B	65651	TICIANA DE OLIVEIRA ALVARES	266	307	201	231	309	312	238	375	322	191	2752
25	DEM	25677	JOSÉ CLAUDIO FREITAS CONCEIÇÃO	119	139	311	427	101	121	1060	94	113	109	2594
12	PDT	12012	CHRISTOPHER BELCHIOR GOULART	549	434	242	257	202	229	77	97	255	86	2428
12	PDT	12222	LINDO CRISTALDO	215	218	170	215	337	171	177	330	150	112	2095
50	PSOL	50005	ALEXSANDER FRAGA DA SILVA	184	207	117	95	139	187	64	90	263	78	1424
13	PT	13713	ANTONIO INÁCIO MATOS DA SILVA	34	57	23	29	226	40	34	896	33	21	1393
50	PSOL	50555	JOÃO EZEQUIEL MENDONÇA DA SILVA	148	130	86	155	118	79	416	78	86	38	1334
13	PT	13100	ALBERTO MOURA TERRES	81	113	99	245	86	43	457	84	43	19	1270
13	PT	13613	THAÍS MARIA FERREIRA SAMPAIO	50	47	65	108	89	117	94	72	215	75	932
13	PT	13025	EDER LUÍS FARIAS	40	37	24	25	476	44	26	133	21	12	838
